日期,时间,指数名称,开盘价,昨收价,当前价,最高价,最低价,涨跌额,涨跌幅%,成交量(手),成交额(元),记录时间
2026-07-29,15:30:36,上证指数,3823.2931,3813.3146,3828.4690,3845.7661,3782.4811,15.15,0.4,571226391,1087407759096,2026-07-29 18:47:23
2026-07-30,15:30:36,上证指数,3812.1110,3828.4690,3804.6926,3839.3407,3767.5033,-23.78,-0.62,592298923,1106477266462,2026-07-30 21:14:02
2026-07-31,15:30:36,上证指数,3833.5359,3804.6926,3832.2624,3847.0926,3822.3736,27.57,0.72,597529427,1187681546393,2026-07-31 21:19:34
2026-08-03,16:19:59,上证指数,3812.6129,3832.2624,3809.6629,3827.6359,3797.6431,-22.6,-0.59,524516960,952256890102,2026-08-04 00:42:26
2026-08-04,16:19:58,上证指数,3816.3699,3809.6629,3822.2846,3831.9400,3799.5244,12.62,0.33,540324922,1008382536905,2026-08-04 21:27:33
2026-08-05,16:19:58,上证指数,3815.1217,3822.2846,3878.4296,3884.3971,3815.1217,56.14,1.47,592155124,1208723017752,2026-08-05 21:26:08
2026-08-06,16:19:58,上证指数,3864.2734,3878.4296,3900.3523,3902.0543,3864.2734,21.92,0.57,588555280,1166818677225,2026-08-06 21:22:05
2026-08-07,16:19:58,上证指数,3896.4854,3900.3523,3940.0371,3940.9347,3885.6248,39.68,1.02,564988582,1209543573294,2026-08-07 18:31:20
2026-08-10,15:35:29,上证指数,3943.8160,3940.0371,3966.5935,3967.5919,3938.6250,26.56,0.67,542118110,1166893282354,2026-08-10 19:28:11
2026-08-11,15:35:29,上证指数,3950.7078,3966.5935,3934.0929,3966.3910,3930.6386,-32.5,-0.82,529490944,1066737091823,2026-08-11 18:29:36
2026-08-12,15:35:28,上证指数,3933.5533,3934.0929,3946.6752,3950.6213,3927.5489,12.58,0.32,503257011,986122393817,2026-08-12 18:45:28
2026-08-13,15:35:29,上证指数,3957.1612,3946.6752,3926.9648,3968.4758,3924.6418,-19.71,-0.5,572793677,1164203068530,2026-08-13 18:46:24
2026-08-14,15:44:59,上证指数,3930.0215,3926.9648,3927.1764,3932.6405,3903.7048,0.21,0.01,499525613,990371924238,2026-08-14 18:41:49
2026-08-17,15:35:31,上证指数,3930.1044,3927.1764,3982.6535,3983.5066,3924.4738,55.48,1.41,489834027,1112818620627,2026-08-17 17:25:00
2026-08-18,15:35:32,上证指数,3979.4898,3982.6535,3990.3037,3994.1812,3955.6012,7.65,0.19,511234287,1135187666395,2026-08-18 17:05:49
2026-08-19,15:35:32,上证指数,3952.1219,3990.3037,3894.4224,3961.1368,3879.5785,-95.88,-2.4,572191213,1218107974056,2026-08-19 17:07:47
2026-08-20,15:35:32,上证指数,3907.2058,3894.4224,3903.7210,3925.0615,3888.0989,9.3,0.24,506633954,1018568353177,2026-08-20 17:08:33
2026-08-21,15:43:32,上证指数,3891.1751,3903.7210,3905.2026,3912.1314,3883.7870,1.48,0.04,446895868,883423480099,2026-08-21 17:19:51
2026-08-24,15:35:32,上证指数,3902.6963,3905.2026,3882.0079,3910.2394,3855.3524,-23.19,-0.59,486931412,952039262501,2026-08-24 18:07:39
2026-08-25,15:43:32,上证指数,3863.3695,3882.0079,3889.4449,3896.2060,3850.8628,7.44,0.19,464117264,858874228922,2026-08-25 17:20:11
2026-08-26,15:35:32,上证指数,3881.7408,3889.4449,3912.5235,3926.4350,3881.7408,23.08,0.59,489553021,857223487993,2026-08-26 17:26:06
2026-08-28,15:43:32,上证指数,3950.2368,3956.5710,3952.1790,3970.3095,3947.7981,-4.39,-0.11,510581645,970365152113,2026-08-29 05:47:54
2026-08-31,15:36:02,上证指数,3926.5312,3952.1790,3986.2980,3986.2980,3926.5039,34.12,0.86,576656606,1014292552054,2026-08-31 23:13:37
